time,equation,Run,damage,gross_domestic_product_nominal,total_radiative_forcing,temperature_change,exponent,constant,equation_dice_tot_eq_dice_total_impact,equation_witness_tot_eq_witness_total_impact,log_exponent,log_damage,log_constant
2005.0,define_tot_eq_define_total_impact,0,74509.47130981785,71537533.26717228,1.7144909502196166,0.845,0.5821269931773085,47277.73999545703,False,False,-0.5410666537175666,11.218681527962511,10.763794850503007
2005.0,define_tot_eq_define_total_impact,1,904074.6634069865,60119595.78728778,1.901,0.845,-2.121818325710212,25090.060840503662,False,False,,13.714667228228127,10.130227064248068
2005.0,define_tot_eq_define_total_impact,2,80319.57377933424,71537533.26717228,1.905,0.845,1.0064300828709767,30769.251023301873,False,False,0.006409498082256034,11.293768628379283,10.334271126885676
2005.0,define_tot_eq_define_total_impact,3,96754.06793316477,71537533.26717228,1.904,0.845,0.8357110666170221,26448.87863735502,False,False,-0.17947233973022242,11.479927655828952,10.182969040824592
2005.0,define_tot_eq_define_total_impact,4,148025.57248815737,71537533.26717228,1.906,0.845,-0.1189448661167718,12024.511040536985,False,False,,11.905140324902428,9.394702432237638
2005.0,define_tot_eq_define_total_impact,5,277962.29699040146,71537533.26717228,1.7144909502196166,0.845,1.4623593445054677,12227.76132973986,False,False,0.38005112080167563,12.535240761138548,9.411464164480353
2005.0,define_tot_eq_define_total_impact,6,57906.41250643314,60119595.78728778,1.901,0.845,1.7470024421045216,33963.51957069221,False,False,0.5579014290356142,10.966583408835048,10.433042273768125
2005.0,define_tot_eq_define_total_impact,7,208919.7973529207,71537533.26717228,1.905,0.845,-0.49835133691713934,18865.696626868426,False,False,,12.249705712575233,9.845100558664331
2005.0,define_tot_eq_define_total_impact,8,155146.84038322922,71537533.26717228,1.904,0.845,-0.03955348571696232,48141.784117072886,False,False,,11.952127304752814,10.78190577166139
2005.0,define_tot_eq_define_total_impact,9,188655.63711797204,71537533.26717228,1.906,0.845,-0.3973242879824473,18354.60384193104,False,False,,12.147678606302879,9.81763571258339
