time,REGIONS 35 I,extra_extra_exponent,extra_extra_normalisation_constant,total_radiative_forcing,coef,temperature_change,gross_domestic_product_nominal,average_disposable_income_per_capita,equation,damage
2038.0,HUNGARY,0.3307521312851283,26024.20580371497,3.231637672628386,0.7441651121953206,1.6623630465641197,185040.55244297543,10650.767614186398,witness_tot_eq_witness_total_impact,2249.9363737778945
2038.0,IRELAND,0.3307521312851283,26024.20580371497,3.231637672628386,1.09334034357495,1.6623630465641197,492472.7266610774,34084.030928100416,witness_tot_eq_witness_total_impact,8797.749103526274
2038.0,LATVIA,0.3307521312851283,26024.20580371497,3.231637672628386,0.916639475498693,1.6623630465641197,70844.70554361572,20002.677931366325,witness_tot_eq_witness_total_impact,1061.060068441537
2038.0,LITHUANIA,0.3307521312851283,26024.20580371497,3.231637672628386,0.910538224316886,1.6623630465641197,81500.20717930431,19602.84543956263,witness_tot_eq_witness_total_impact,1212.5255807386686
2038.0,LUXEMBOURG,0.3307521312851283,26024.20580371497,3.231637672628386,1.7343354310925823,1.6623630465641197,166644.29858995686,137523.01502814668,witness_tot_eq_witness_total_impact,4722.343465423614
2038.0,POLAND,0.3307521312851283,26024.20580371497,3.231637672628386,0.9595682580784825,1.6623630465641197,1426262.7722072927,22971.29415396162,witness_tot_eq_witness_total_impact,22361.937777405637
2038.0,PORTUGAL,0.3307521312851283,26024.20580371497,3.231637672628386,0.9286132131541734,1.6623630465641197,303534.66878249124,20803.14554745526,witness_tot_eq_witness_total_impact,4605.504126032089
2038.0,SLOVAKIA,0.3307521312851283,26024.20580371497,3.231637672628386,0.8458641290110693,1.6623630465641197,140209.17508506845,15688.349737660386,witness_tot_eq_witness_total_impact,1937.8093942132239
2038.0,SPAIN,0.3307521312851283,26024.20580371497,3.231637672628386,0.8431890256801403,1.6623630465641197,1194628.292921504,15538.821134208543,witness_tot_eq_witness_total_impact,16458.55701896555
2038.0,SWEDEN,0.3307521312851283,26024.20580371497,3.231637672628386,1.3123664335891967,1.6623630465641197,1161381.0848562354,59197.96070511113,witness_tot_eq_witness_total_impact,24903.700068133432
2038.0,UK,0.3307521312851283,26024.20580371497,3.231637672628386,1.490497458382925,1.6623630465641197,8851130.885336204,86981.97303922902,witness_tot_eq_witness_total_impact,215557.93649096083
2038.0,CHINA,0.3307521312851283,26024.20580371497,3.231637672628386,0.9425423262847488,1.6623630465641197,43281255.71947475,21760.977481416412,witness_tot_eq_witness_total_impact,666553.0641831267
2038.0,EASOC,0.3307521312851283,26024.20580371497,3.231637672628386,0.8944421284324366,1.6623630465641197,25023761.99582587,18573.765566239686,witness_tot_eq_witness_total_impact,365711.7061309693
