Name,Variable sign ,Description,Unit,Status,Damage functions,Damage functions 2,Related equation,Zotero Source,Quantité (Damage functions),Sector,Module,Type,Scope,Formule (à partir de Damage functions),WILIAM name
Population in region r at time t , P , Population size at time t in region r , - ,,"Space heating impact,Space cooling impact,Ecosystem loss",, Equation E.1,,3,Population,Demography,Stock,,"e1.png (https://v5.airtableusercontent.com/v3/u/30/30/1720108800000/3tSfGgu_fOkbHfWzf-dI3Q/2wb_bwasyglBq435eH2Hvd9YX1NYF4ILuZhqlBPVtk_gAW600ijagiuc3wJihNyknTQ1UMIsXuwqguYRkBcqs_kIGK2AzqTKb4LdPCk_EI8X9qkOYu1PTJqbRshmXrIzGXekIlreSBW7fndOt1k9lw/Kb86flsCHFkJqt4UTtmBRjUCZeiCvGQ5_PkDq73saiQ),e2.png (https://v5.airtableusercontent.com/v3/u/30/30/1720108800000/T1bf6dywaYDrdlbNkf1_Pg/Z973hPXiKG5GD4S5OHKxxDmzjShfInUZj74kwwFxpw3fPMYvDFLfT4hxvCHOHwBCRtF7d4Q-Mam5IDyL0GYehNgfrIscEEx-CFzoRrv1Z47M5OSo_KH3dCne4iF9XNvWE6XBKmwEC0P8a5AVHZzCug/9_YUvye9SaiwByeBvRGKf1Q0yPGSqz8gH8L_KLrssiA),e.1.png (https://v5.airtableusercontent.com/v3/u/30/30/1720108800000/KiOgTql1KhZ3o0UB8bRukQ/lP1ZegbCmPg-vcwakECVA-5AufITobGE5cvj4Mi3d3E2kXNg4ZO0ZisBgA1K9MekJg6HX2cvBGPr8SFeqIOJBk8R2rCghsGvYScPoNmZx8f-1jjH4puFkbD37oX6K4IpiYMUidYiZKNYIM5Pa3e1BQ/Fx3gEKURSqMzNDhJEeG3LB-lBcs1Qt01sE2HV6W5tro)",
Income elasticity of space heating demand , ε , Income elasticity of space heating demand , - ,,"Space heating impact,Space cooling impact",, Equation E.1,,2,,,Parameter,,"e1.png (https://v5.airtableusercontent.com/v3/u/30/30/1720108800000/3tSfGgu_fOkbHfWzf-dI3Q/2wb_bwasyglBq435eH2Hvd9YX1NYF4ILuZhqlBPVtk_gAW600ijagiuc3wJihNyknTQ1UMIsXuwqguYRkBcqs_kIGK2AzqTKb4LdPCk_EI8X9qkOYu1PTJqbRshmXrIzGXekIlreSBW7fndOt1k9lw/Kb86flsCHFkJqt4UTtmBRjUCZeiCvGQ5_PkDq73saiQ),e2.png (https://v5.airtableusercontent.com/v3/u/30/30/1720108800000/T1bf6dywaYDrdlbNkf1_Pg/Z973hPXiKG5GD4S5OHKxxDmzjShfInUZj74kwwFxpw3fPMYvDFLfT4hxvCHOHwBCRtF7d4Q-Mam5IDyL0GYehNgfrIscEEx-CFzoRrv1Z47M5OSo_KH3dCne4iF9XNvWE6XBKmwEC0P8a5AVHZzCug/9_YUvye9SaiwByeBvRGKf1Q0yPGSqz8gH8L_KLrssiA)",
Autonomous Energy Efficiency Improvement , AEEI , Parameter measuring technological progress in energy provision for space heating , - ,,"Space heating impact,Space cooling impact",, Equation E.1,,2,,Energy,,,"e1.png (https://v5.airtableusercontent.com/v3/u/30/30/1720108800000/3tSfGgu_fOkbHfWzf-dI3Q/2wb_bwasyglBq435eH2Hvd9YX1NYF4ILuZhqlBPVtk_gAW600ijagiuc3wJihNyknTQ1UMIsXuwqguYRkBcqs_kIGK2AzqTKb4LdPCk_EI8X9qkOYu1PTJqbRshmXrIzGXekIlreSBW7fndOt1k9lw/Kb86flsCHFkJqt4UTtmBRjUCZeiCvGQ5_PkDq73saiQ),e2.png (https://v5.airtableusercontent.com/v3/u/30/30/1720108800000/T1bf6dywaYDrdlbNkf1_Pg/Z973hPXiKG5GD4S5OHKxxDmzjShfInUZj74kwwFxpw3fPMYvDFLfT4hxvCHOHwBCRtF7d4Q-Mam5IDyL0GYehNgfrIscEEx-CFzoRrv1Z47M5OSo_KH3dCne4iF9XNvWE6XBKmwEC0P8a5AVHZzCug/9_YUvye9SaiwByeBvRGKf1Q0yPGSqz8gH8L_KLrssiA)",
Increase in expenditure on space cooling , SC , Increase in expenditure on space cooling in 1995 US dollar at time t in region r , USD ,,,Space cooling impact, Equation E.2,,0,Consumption,Economy,Stock,Regional,,
Income elasticity of space cooling demand , ε , Income elasticity of space cooling demand , - ,,,, Equation E.2,,0,Consumption,Economy,Rate,,,
Dryland loss due to one metre sea level rise , δ , Dryland loss due to one metre sea level rise in square kilometre per metre in region r , km²/m ,,Potential cumulative dryland impact,, Equation SLR.1,,1,,,Stock,,slr1.png (https://v5.airtableusercontent.com/v3/u/30/30/1720108800000/buyZaQJhFp2mw4Vvfj89XQ/Vnnu6sqEiPon7vRNdo6LZr8TuNPOLuOLQ6Pa0mM4XAxCE2O34VNJ8_nOPmOTtstUHYmXcw1PYQWIfnFIV6hmOZvKiUtXe8RihZBifu70oEasutQoM2_s5WVGqE9BiFsofcRPsyfmWGKfHpn6EZkZAw/M_xXStoYZ8Cd5V3m-rHPqw5XSTwg-J-Nz_tEidJL0GU),
Sea level rise above pre-industrial levels , S , Sea level rise above pre-industrial levels at time t , - ,,Potential cumulative dryland impact,, Equation SLR.1,,1,Sea level rise,Climate,Stock,Global,slr1.png (https://v5.airtableusercontent.com/v3/u/30/30/1720108800000/buyZaQJhFp2mw4Vvfj89XQ/Vnnu6sqEiPon7vRNdo6LZr8TuNPOLuOLQ6Pa0mM4XAxCE2O34VNJ8_nOPmOTtstUHYmXcw1PYQWIfnFIV6hmOZvKiUtXe8RihZBifu70oEasutQoM2_s5WVGqE9BiFsofcRPsyfmWGKfHpn6EZkZAw/M_xXStoYZ8Cd5V3m-rHPqw5XSTwg-J-Nz_tEidJL0GU),
Parameter calibrated to a digital elevation model , γ , Parameter calibrated to a digital elevation model , - ,,Potential cumulative dryland impact,, Equation SLR.1,,1,,,Parameter,,slr1.png (https://v5.airtableusercontent.com/v3/u/30/30/1720108800000/buyZaQJhFp2mw4Vvfj89XQ/Vnnu6sqEiPon7vRNdo6LZr8TuNPOLuOLQ6Pa0mM4XAxCE2O34VNJ8_nOPmOTtstUHYmXcw1PYQWIfnFIV6hmOZvKiUtXe8RihZBifu70oEasutQoM2_s5WVGqE9BiFsofcRPsyfmWGKfHpn6EZkZAw/M_xXStoYZ8Cd5V3m-rHPqw5XSTwg-J-Nz_tEidJL0GU),
Maximum dryland loss in region , ζ ," Maximum dryland loss in region r, which is equal to the area in the year 2000 ", - ,,Potential cumulative dryland impact,, Equation SLR.1,,1,,,Stock,,slr1.png (https://v5.airtableusercontent.com/v3/u/30/30/1720108800000/buyZaQJhFp2mw4Vvfj89XQ/Vnnu6sqEiPon7vRNdo6LZr8TuNPOLuOLQ6Pa0mM4XAxCE2O34VNJ8_nOPmOTtstUHYmXcw1PYQWIfnFIV6hmOZvKiUtXe8RihZBifu70oEasutQoM2_s5WVGqE9BiFsofcRPsyfmWGKfHpn6EZkZAw/M_xXStoYZ8Cd5V3m-rHPqw5XSTwg-J-Nz_tEidJL0GU),
Potential dryland loss without protection , D̅ , Potential dryland loss in year t and region r without protection , - ,,Actual dryland loss in the current year,Potential dryland loss without protection, Equation SLR.2,,1,,,Stock,,slr3.png (https://v5.airtableusercontent.com/v3/u/30/30/1720108800000/-S11h8p5bF_vWrdACOUXpg/YsqzwrG7T3KROwF5_BGi34cEFMeHcMTjMuSeE7Dc01Rg9qM69SB_7gYZktKNlgg_aymguAhTMCjC68o_WWBi9JtSxeOK0uek8Nxigx2TRUHC8MfQtok0tEKKMHymSigP1xMy_WitDGxhZPhkJz8IFQ/Dn34Mg10DAus6bdF1J2myWP04-gXESbp26ndJc_v2d4),
