Name,Equation number,Model - old table,Model,Input variable,Output variables,Equation shape,Equation form,Zotero reference,IPCC risks,Input categories,Output categories,Latex fragment,Vensim,Vensim name,Number of equations
Extratropical storms mortality,ETS.2,FUND v.3.8,FUND v.3.8,"Population in region r at time t ,Benchmark mortality from extratropical cyclones for region r ,Gross domestic product per capita,Income elasticity of extratropical storm mortality ,Storm sensitivity to atmospheric CO2 concentrations for region r ,Atmospheric CO2 concentrations ,Pre-industrial concentration of CO2",Mortality from extratropical cyclones at time t in region r ,,Elasticity,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=21&annotation=ERSA7FLF))  ,"Inland flooding,Coastal flooding / storm,Damages to infrastructure,Damages to key economic sectors","Population, , GDP, Wind, CO2 concentration",Mortality,"E T M_{t,r}=\beta_{r}{\cal P}_{t,r}\left(\frac{y_{t,r}}{y_{1990,r}}\right)^{\varphi}\widehat{\cal O}_{r}\left[\left(\frac{C_{C O2,t}}{C_{C O2,p r e}}\right)^{\gamma}-1\right]",Oui,,
Value of a statistical life,MM.1,FUND v.3.8,FUND v.3.8,"Income elasticity of the value of a statistical life ,Gross domestic product per capita,Normalisation constant ",Value of a statistical life at time t in region r ,,Elasticity,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=22&annotation=5IJPHFP2))  ,,", GDP",GDP,"V S L_{t,r}=\alpha\left(\frac{y_{t,r}}{y_{0}}\right)^{6}",Oui,,
Value of a year of morbidity,MM.2,FUND v.3.8,FUND v.3.8,"Gross domestic product per capita,Income elasticity of the value of a year of morbidity ",Value of a year of morbidity at time t in region r ,,Elasticity,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=22&annotation=4M7ZJN2E))  ,,"GDP, ",GDP,"V M_{t,r}=\beta\left(\frac{y_{t,r}}{y_{0}}\right)",Oui,,
Damage function,5,DICE 2023,DICE 2023,"??1 (psi 1) ,??2 (psi 2) ,?? (T) ",?? (omega) ,,Quadratic,[image] ([pdf](zotero://open-pdf/library/items/B3AXV6A8?page=9&annotation=3WLNKML7))  ,,,,\begin{array}{l l}{{\ }}&{{\displaystyle=\psi_{1}T_{A T}(t)+\psi_{2}[T_{A T}(t)]^{2}}}\\ {{}}&{{=[0.0]T_{A T}(t)+[0.003467][T_{A T}(t)]^{2}}}\end{array},Oui,,
Abatement costs,6,DICE 2023,DICE 2023,"?? (mu) ,??1 (theta 1) ,??2 (theta 2) ",? (lambda) ,,Quadratic,[image] ([pdf](zotero://open-pdf/library/items/B3AXV6A8?page=9&annotation=3WLNKML7))  ,,,,\begin{array}{l}{{\Lambda({\bf t})\;=\;\theta_{1}(t)\mu(t)^{\theta_{2}}}}\\ {{\theta_{1}(0)\;=\;0.109062}}\\ {{\theta_{2}=\;2.6}}\end{array},Oui,,
Tolerable rate of change,22,PAGE02,PAGE02," Tolerable rate of change , Tolerable regional multiplier ", Tolerable rate of change ,,,[image] ([pdf](zotero://open-pdf/library/items/CV9MZG2V?page=24&annotation=Z6U9GKJM))  ,,"Temperature, Parameter",Temperature,"T R_{d,r}=\ T R_{d,0}\cdot\ T M_{r}",En cours,,
Tolerable plateau,23,PAGE02,PAGE02," Tolerable plateau , Tolerable regional multiplier ", Tolerable plateau ,,,[image] ([pdf](zotero://open-pdf/library/items/CV9MZG2V?page=24&annotation=5ZD6GLBF))  ,,"Temperature, Parameter",Temperature,"T P_{d,r}\underline{{{\Sigma}}}\underline{{{\Sigma}}}\underline{{{P}}}_{d,0}\cdot\ I=0\L_{r}",En cours,,
Adjusted tolerable plateau,24,PAGE02,PAGE02,"Plateau nonegative factors characteristic to an adaptive policy, Tolerable plateau ", Adjusted tolerable plateau ,,,[image] ([pdf](zotero://open-pdf/library/items/CV9MZG2V?page=24&annotation=NE44W4FS))  ,,", Temperature",,"A^{\prime}T P_{i,d,r}\underline{{{\bf\Lambda}}}\underline{{{\bf\Lambda}}}\underline{{{\bf\Lambda}}}\underline{{{\Lambda}}}\underline{{{\Lambda}}}\lambda\alpha^{\prime}\underline{{{\cal\Psi}}}_{i,d,r}",En cours,,
Adjusted tolerable rate,25,PAGE02,PAGE02," Tolerable rate of change ,Slope nonegative factors characteristic to an adaptive policy", Adjusted tolerable rate ,,,[image] ([pdf](zotero://open-pdf/library/items/CV9MZG2V?page=24&annotation=KKNXVJBW))  ,,"Temperature, ",,"A I I\!R_{i,d,r}\underline{{{\longrightarrow}}}\ D\mathsf{)}_{d,r}\i\!\!\slash\k\mathsf{P}_{1,d,r}",En cours,,
Adjusted tolerable level,26,PAGE02,PAGE02," Adjusted tolerable plateau , Adjusted tolerable rate , Adjusted tolerable level ,GDP in region r at time t ", Adjusted tolerable level ,,,[image] ([pdf](zotero://open-pdf/library/items/CV9MZG2V?page=25&annotation=SCSZD24F))  ,,", GDP",,"{\cal L}_{i,d,r}\,=\,\mathrm{In}\mathrm{ax}\left[0,R T_{i,r}\,-\,A\,T L_{i,d,r}\right]",En cours,,
Impact,26,PAGE02,PAGE02,"Regional mean temperature in degrees Celsius , Adjusted tolerable level ", Regional impact of global warming ,,,[image] ([pdf](zotero://open-pdf/library/items/CV9MZG2V?page=25&annotation=TK54GLDT))  ,,"Temperature, ",,"A T L_{i,d,r}=\operatorname*{min}\left[A T P_{i,d,t},A T L_{i-1,d,r}+A T R_{d,r}\cdot(Y_{i}-Y_{i-1})\right]\frac{array}{a,d,r}{a,r}=\sum_{i=1}^{M}\frac{a}{a,r}>0^{2}.",En cours,,
Impact of a discontinuity,27,PAGE02,PAGE02,"Global mean temperature ,Temperature discontinuity", Discontinuity impact ,,,[image] ([pdf](zotero://open-pdf/library/items/CV9MZG2V?page=25&annotation=3YRX8W5N))  ,,Temperature,,"I D I S_{i}=\operatorname*{max}[0,\,G R T_{i}-\,T D I S]",Non,,
Weighting of the impacts,29,PAGE02,PAGE02," Weights for monetizing impacts , Regional multiplier weights", Weights for monetizing impacts ,,,[image] ([pdf](zotero://open-pdf/library/items/CV9MZG2V?page=25&annotation=KU4ZPJ2X))  ,,"GDP, ",GDP,"\bar{W}_{d,r}\implies\bar{W}_{d,0}\cdot\frac{W F_{r}}{100}",Non,,
Weigthed impacts,31,PAGE02,PAGE02," Power function exponent , Weights for monetizing impacts , Regional impact of global warming ,GDP in region r at time t ,Adaptative policy", Weighted impact ,,,[image] ([pdf](zotero://open-pdf/library/items/CV9MZG2V?page=26&annotation=I9VTZGV5))  ,,", GDP",,"W I_{i,d,r}=\left(\frac{I_{i,d,r}}{2.5}\right)^{P O W}\cdot W_{d,r}\cdot\left(1-\frac{I M P_{i,d,r}}{100}\right)\cdot G D P_{i,r}",Non,,
Certainty equivalent of the risk,32,PAGE02,PAGE02," Discontinuity weight , Discontinuity impact ,GDP in region r at time t ", Weighted impact of discontinuity ,,,[image] ([pdf](zotero://open-pdf/library/items/CV9MZG2V?page=26&annotation=SH86S4R5))  ,,", GDP",,"W I D I S_{i,r}=I D I S_{i}\cdot(\frac{P D I S}{100})\cdot\,W D I S_{r}\cdot G D P_{i,r}",Non,,
Total weighted impact,33,PAGE02,PAGE02," Weighted impact , Weighted impact of discontinuity ", Total weighted impact ,,,[image] ([pdf](zotero://open-pdf/library/items/CV9MZG2V?page=26&annotation=5TEQ7U5C))  ,,,,"W I T_{i,r}\stackrel{_{\textstyle>}}{=}\sum_{d}W I_{i,d,r}+W I D I J J_{i,r}",Non,,
