Model,IAMC model,Statut,Damage function ? ,Model name long,Name and version,model_team,model_date,reference,IPCC ?,SSP ? ,EU ? ,modelisation,solution_algorithm,model_category,direction,regions-number,regions-comment,sectors-number,modelisation-type,economic-school,economic-theory,Field 20,Comment,Damage functions,Nombre de fonctions de dommages,Cumul de Equation form (à partir de Damage functions),Critiques,Institution,Model link,Model type,Geographical scope,Objective,Solution concept,Solution horizon,Solution method,Time discounting type
ICES-EMF,ICES,Non fait,Inconnu,,,,,,checked,,,,,,,,,,,,,,,,0,,,,,,,,,,,
SNOW_GL_HH_v1,SNOW GL HH,Non fait,Inconnu,,,,,,checked,,,,,,,,,,,,,,,,0,,,,,,,,,,,
TEA,COFFEE-TEA,Non fait,Non,,,,,,checked,,,,,,,,,,,,,,,,0,,,,,,,,,,,
WEGDYN,WEGDYN,Non fait,Oui,,,,,,checked,,,,,,,,,,,,,,,,0,,,,,,,,,,,
E3ME-FTT-GENIE,E3ME-FTT,Non fait,Non,Energy-Economy-Environment Macro-Econometric - Future Technology Transformations - Grid Enabled Integrated Earth,,,,,,,,simulation,,,,,,,"Macro-econometric, System dynamics, Diffusion",Post-Keynesian school,,,,,0,,"Neutrality and exogeneity of money,Private debt and financial instability,Representative agent and rational expectations,Damage functions,Feedback of energy and other resources as production constraints,""International trade, finance and flows""",,,,,,,,,
GENIE,,Non fait,Non,Grid Enabled Integrated Earth,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
PRIMES,PRIMES,Non fait,Oui,hj,,,,,,,,,,,,,,,"Partial equilibrium, Cost optimisation",,,,,,0,,,,,,,,,,,
ESTEEM,,Non fait,Non,,,,,,,,,,,,,,,,,,,,,,0,,"Output gap framework,Equilibrium framwork and Say's Law,Neutrality and exogeneity of money,Private debt and financial instability,Representative agent and rational expectations,Substituability in production functions and increasing returns to scale,Inequalities,Damage functions,Feedback of energy and other resources as production constraints",,,,,,,,,
ICES,ICES,Non fait,Non,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
GEMMES,,Non fait,Oui,,,,,,,,,,,,,,,,,,,,,,0,,"Representative agent and rational expectations,Substituability in production functions and increasing returns to scale,Inequalities,Feedback of energy and other resources as production constraints,""Need for a multi-sector approach and cross-sector dynamics, both for goods and capital""",,,,,,,,,
EIRIN,,Non fait,Oui,,,,,,,,,,,,,,,,,,,,,,0,,"Representative agent and rational expectations,Damage functions,Feedback of energy and other resources as production constraints,""International trade, finance and flows"",""Need for a multi-sector approach and cross-sector dynamics, both for goods and capital""",,,,,,,,,
MATISSE,,Non fait,Non,,,,,,,,,simulation,,,,,,,Agent-based,,,,,,0,,,,,,,,,,,
DICE 2010,,Non fait,Oui,DICE 2010,,,,,,,,,,,,1,,,,,,,,,0,,,,,,,,,,,
MERGE,MERGE-ETL,Non fait,Inconnu,Merge 2004,,,,@SPOTLIGHTING IMPACTS FUNCTIONS IN INTEGRATED ASSESSMENT,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
DICE,,Non fait,Oui,Dynamic Integrated model of Climate and the Economy,,William Nordhaus,,@DICE 2013R: Introduction and User’s Manual,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
PAGE09,,Non fait,Oui,PAGE09,,Chris Hope,,@The Social Cost of Co2 from the Page09 Model,,,,simulation,,,,8,,,,,,,,,0,,,,,,,,,,,
DICE-2013R,,Non fait,Oui,DICE-2013R,,William Nordhaus,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
MIMOSA,,Non fait,Oui,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
DEFINE,,Non fait,Oui,Dynamic Ecosystem-FINance-Economy,,Richard Tol,,@A stock-flow-fund ecological macroeconomic model,,,,,,,,,,,Macro-econometric,Post-Keynesian school,,,,,0,,"Representative agent and rational expectations,Substituability in production functions and increasing returns to scale,Inequalities,""International trade, finance and flows"",""Need for a multi-sector approach and cross-sector dynamics, both for goods and capital""",,,,,,,,,
Giraud Stock-Flow model,,Non fait,Oui,Giraud Stock-Flow model,,Gaël Giraud,,,,,,simulation,,,,,,,Macro-econometric,Post-Keynesian school,,,,,0,,,,,,,,,,,
FTT,E3ME-FTT,Non fait,Non,Future Technology Transformations,,,,,,,,simulation,,,,,,,System dynamics,Post-Keynesian school,,,,,0,,,,,,,,,,,
COACCH,,Non fait,Oui,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
GINFORS,,Non fait,Non,Global Interindustry FORecasting System,,,,@GINFORS-E factsheet,,,,simulation,,,,,,,Macro-econometric,Post-Keynesian school,,,,,0,,,,,,,,,,,
WILLIAM,,Non fait,Oui,WILLIAM,,,,,,,,,,,bottom-up,,,,,,,,,,0,,"Representative agent and rational expectations,""International trade, finance and flows""",,,,,,,,,
QUEST,,Non fait,Non,,,,,,,,,,,,,,,,Optimal growth,New Keynesian school,,,,,0,,,,,,,,,,,
FUND,,Non fait,Oui,CLIMATE FRAMEWORK FOR UNCERTAINTY NEGOTIATION AND DISTRIBUTION,,,,@FUND Technical Description,,,,Optimisation,,,,16,,,Optimal growth,,,,,,0,,,,,,,,,,,
MEDEAS,MEDEAS,Non fait,Oui,MEDEAS,,,,,,,,simulation,,,mixte,,,,,,,,,,0,,"Output gap framework,Equilibrium framwork and Say's Law,Neutrality and exogeneity of money,Private debt and financial instability,Representative agent and rational expectations,Inequalities,""International trade, finance and flows""",,,,,,,,,
TIMES,"TIMES-France,China TIMES",Non fait,Oui,,,,,,,,,Optimisation,,,,,,,"Partial equilibrium, Cost-optimisation",,,,,,0,,,,,,,,,,,
MINSKY,,Non fait,Non,,,,,@Finance and Economic Breakdown: Modeling Minsky’s “Financial Instability Hypothesis”,,,,simulation,,,,,,,,Post-Keynesian school,,,,,0,,,,,,,,,,,
Eurogreen,,Non fait,Inconnu,,,,,,,,,,,,,,,,,,,,,,0,,"Representative agent and rational expectations,Substituability in production functions and increasing returns to scale,Inequalities,Damage functions,Feedback of energy and other resources as production constraints,""International trade, finance and flows"",""Need for a multi-sector approach and cross-sector dynamics, both for goods and capital""",,,,,,,,,
