WILIAM region,WILIAM code,FUND code,FUND region,Country,ISO
Rest of the world,LROW,SEA,Southeast Asia, Laos,
East Asia and Oceania,EASOC,SEA,Southeast Asia, Malaysia,MYS
Rest of the world,LROW,SEA,Southeast Asia, Myanmar,MMR
Rest of the world,LROW,SEA,Southeast Asia, Papua New Guinea,PNG
East Asia and Oceania,EASOC,SEA,Southeast Asia, Philippines,PHL
East Asia and Oceania,EASOC,SEA,Southeast Asia, Singapore,SGP
East Asia and Oceania,EASOC,SEA,Southeast Asia, Taiwan,TWN
East Asia and Oceania,EASOC,SEA,Southeast Asia, Thailand,THA
East Asia and Oceania,EASOC,SEA,Southeast Asia, Vietnam,VNM
China,China,CHI,China plus,China,CHN
China,China,CHI,China plus, Hong Kong,HKG
East Asia and Oceania,EASOC,CHI,China plus, North Korea,KOR
Rest of the world,LROW,CHI,China plus, Macau,
Rest of the world,LROW,CHI,China plus, Mongolia,MNG
Rest of the world,LROW,NAF,North Africa,Algeria,DZA
Rest of the world,LROW,NAF,North Africa, Egypt,EGY
Rest of the world,LROW,NAF,North Africa, Libya,LBY
Rest of the world,LROW,NAF,North Africa, Morocco,MAR
Rest of the world,LROW,NAF,North Africa, Tunisia,TUN
Rest of the world,LROW,NAF,North Africa, Western Sahara,ESH
Rest of the world,LROW,SSA,Sub-Saharan Africa,Angola,AGO
Rest of the world,LROW,SSA,Sub-Saharan Africa, Benin,BEN
Rest of the world,LROW,SSA,Sub-Saharan Africa, Botswana,BWA
Rest of the world,LROW,SSA,Sub-Saharan Africa, Burkina Faso,BFA
Rest of the world,LROW,SSA,Sub-Saharan Africa, Burundi,BDI
Rest of the world,LROW,SSA,Sub-Saharan Africa, Cameroon,CMR
Rest of the world,LROW,SSA,Sub-Saharan Africa, Cape Verde,
Rest of the world,LROW,SSA,Sub-Saharan Africa, Central African Republic,CAF
Rest of the world,LROW,SSA,Sub-Saharan Africa, Chad,TCD
Rest of the world,LROW,SSA,Sub-Saharan Africa, Congo-Brazzaville,COG
Rest of the world,LROW,SSA,Sub-Saharan Africa, Congo-Kinshasa,COG
Rest of the world,LROW,SSA,Sub-Saharan Africa, Cote d’Ivoire,CIV
Rest of the world,LROW,SSA,Sub-Saharan Africa, Djibouti,DJI
Rest of the world,LROW,SSA,Sub-Saharan Africa, Equatorial Guinea,GNQ
Rest of the world,LROW,SSA,Sub-Saharan Africa, Eritrea,ERI
Rest of the world,LROW,SSA,Sub-Saharan Africa, Ethiopia,ETH
