,AUSTRIA,BELGIUM,BULGARIA,CROATIA,CYPRUS,CZECHIA,DENMARK,ESTONIA,FINLAND,FRANCE,GERMANY,GREECE,HUNGARY,IRELAND,ITALY,LATVIA,LITHUANIA,LUXEMBOURG,MALTA,NETHERLANDS,POLAND,PORTUGAL,ROMANIA,SLOVAKIA,SLOVENIA,SPAIN,SWEDEN,UK,CHINA,EASOC,INDIA,LATAM,RUSSIA,USMCA,LROW
Forestry, 0.000025    , 0.000025    ,0,0, 0.000025    ,0, 0.000025    , -0.000023   , 0.000025    , 0.000025    , 0.000025    , 0.000025    ,0, 0.000025    , 0.000025    , -0.000023   , -0.000023   , 0.000025    , 0.000025    , 0.000025    ,0, 0.000025    ,0,0,0, 0.000025    , 0.000025    , 0.000025    , 0.000087    , 0.000067    , 0.000062    , 0.000024    , -0.000023   , 0.000053    , 0.000011    
Water,  -0.000270   ,  -0.000270   ,0,0,  -0.000270   ,0,  -0.000270   ,  -0.027540   ,  -0.000270   ,  -0.000270   ,  -0.000270   ,  -0.000270   ,0,  -0.000270   ,  -0.000270   ,  -0.027540   ,  -0.027540   ,  -0.000270   ,  -0.000270   ,  -0.000270   ,0,  -0.000270   ,0,0,0,  -0.000270   ,  -0.000270   ,  -0.000270   ,  0.005690    ,  -0.003140   ,  -0.001560   ,  -0.001400   ,  -0.027540   ,  -0.000650   ,  -0.003600   
Heating, 0.00241 , 0.00241 ,0,0, 0.00241 ,0, 0.00241 , 0.01663 , 0.00241 , 0.00241 , 0.00241 , 0.00241 ,0, 0.00241 , 0.00241 , 0.01663 , 0.01663 , 0.00241 , 0.00241 , 0.00241 ,0, 0.00241 ,0,0,0, 0.00241 , 0.00241 , 0.00241 , 0.03971 , 0.00695 , 0.00361 , 0.00395 , 0.01663 , 0.00429 , 0.00006 
Cooling, -0.00372 , -0.00372 ,0,0, -0.00372 ,0, -0.00372 , -0.00674 , -0.00372 , -0.00372 , -0.00372 , -0.00372 ,0, -0.00372 , -0.00372 , -0.00674 , -0.00674 , -0.00372 , -0.00372 , -0.00372 ,0, -0.00372 ,0,0,0, -0.00372 , -0.00372 , -0.00372 , -0.02891 , -0.00740 , -0.00384 , -0.00259 , -0.00674 , -0.00212 , -0.00797 
