,-,AUSTRIA,BELGIUM,BULGARIA,CROATIA,CYPRUS,CZECHIA,DENMARK,ESTONIA,FINLAND,FRANCE,GERMANY,GREECE,HUNGARY,IRELAND,ITALY,LATVIA,LITHUANIA,LUXEMBOURG,MALTA,NETHERLANDS,POLAND,PORTUGAL,ROMANIA,SLOVAKIA,SLOVENIA,SPAIN,SWEDEN,UK,CHINA,EASOC,INDIA,LATAM,RUSSIA,USMCA,LROW
14, MDE  , 0.000    , 0.000    ,0,0, 0.000    ,0, 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    ,0, 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    ,0, 0.000    ,0,0,0, 0.000    , 0.000    , 0.000    , 0.000   , 0.000   , 0.000   , 0.000   , 0.000    , 0.000    , 0.000   
15,      , (0.001)  , (0.001)  ,0,0, (0.001)  ,0, (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  ,0, (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  ,0, (0.001)  ,0,0,0, (0.001)  , (0.001)  , (0.001)  , (0.001) , (0.001) , (0.001) , (0.001) , (0.001)  , (0.001)  , (0.001) 
16, CAM  , 0.000    , 0.000    ,0,0, 0.000    ,0, 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    ,0, 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    ,0, 0.000    ,0,0,0, 0.000    , 0.000    , 0.000    , 0.000   , 0.000   , 0.000   , 0.000   , 0.000    , 0.000    , 0.000   
17,      , (0.001)  , (0.001)  ,0,0, (0.001)  ,0, (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  ,0, (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  ,0, (0.001)  ,0,0,0, (0.001)  , (0.001)  , (0.001)  , (0.001) , (0.001) , (0.001) , (0.005) , (0.001)  , (0.001)  , (0.001) 
18, SAM  , 0.000    , 0.000    ,0,0, 0.000    ,0, 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    ,0, 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    ,0, 0.000    ,0,0,0, 0.000    , 0.000    , 0.000    , 0.000   , 0.000   , 0.000   , 0.900   , 0.000    , 0.000    , 0.000   
19,      , (0.001)  , (0.001)  ,0,0, (0.001)  ,0, (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  ,0, (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  ,0, (0.001)  ,0,0,0, (0.001)  , (0.001)  , (0.001)  , (0.001) , (0.001) , (0.001) , (0.900) , (0.001)  , (0.001)  , (0.001) 
20, SAS  , 0.000    , 0.000    ,0,0, 0.000    ,0, 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    ,0, 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    ,0, 0.000    ,0,0,0, 0.000    , 0.000    , 0.000    , 0.000   , 0.000   , 0.900   , 0.000   , 0.000    , 0.000    , 0.000   
21,      , (0.001)  , (0.001)  ,0,0, (0.001)  ,0, (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  ,0, (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  ,0, (0.001)  ,0,0,0, (0.001)  , (0.001)  , (0.001)  , (0.001) , (0.005) , (0.900) , (0.001) , (0.001)  , (0.001)  , (0.001) 
22, SEA  , 0.000    , 0.000    ,0,0, 0.000    ,0, 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    ,0, 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    ,0, 0.000    ,0,0,0, 0.000    , 0.000    , 0.000    , 0.000   , 0.900   , 0.000   , 0.000   , 0.000    , 0.000    , 0.000   
23,      , (0.001)  , (0.001)  ,0,0, (0.001)  ,0, (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  ,0, (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  ,0, (0.001)  ,0,0,0, (0.001)  , (0.001)  , (0.001)  , (0.005) , (0.900) , (0.005) , (0.001) , (0.001)  , (0.001)  , (0.001) 
24, CHI  , 0.000    , 0.000    ,0,0, 0.000    ,0, 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    ,0, 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    ,0, 0.000    ,0,0,0, 0.000    , 0.000    , 0.000    , 0.900   , 0.000   , 0.000   , 0.000   , 0.000    , 0.000    , 0.000   
25,      , (0.001)  , (0.001)  ,0,0, (0.001)  ,0, (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  ,0, (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  ,0, (0.001)  ,0,0,0, (0.001)  , (0.001)  , (0.001)  , (0.900) , (0.001) , (0.001) , (0.001) , (0.001)  , (0.001)  , (0.001) 
26, NAF  , 0.000    , 0.000    ,0,0, 0.000    ,0, 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    ,0, 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    ,0, 0.000    ,0,0,0, 0.000    , 0.000    , 0.000    , 0.000   , 0.000   , 0.000   , 0.000   , 0.000    , 0.000    , 0.000   
27,      , (0.001)  , (0.001)  ,0,0, (0.001)  ,0, (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  ,0, (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  ,0, (0.001)  ,0,0,0, (0.001)  , (0.001)  , (0.001)  , (0.001) , (0.001) , (0.001) , (0.001) , (0.001)  , (0.001)  , (0.005) 
28, SIS  , 0.000    , 0.000    ,0,0, 0.000    ,0, 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    ,0, 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    ,0, 0.000    ,0,0,0, 0.000    , 0.000    , 0.000    , 0.000   , 0.000   , 0.000   , 0.000   , 0.000    , 0.000    , 0.900   
29,      , (0.001)  , (0.001)  ,0,0, (0.001)  ,0, (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  ,0, (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  ,0, (0.001)  ,0,0,0, (0.001)  , (0.001)  , (0.001)  , (0.001) , (0.001) , (0.001) , (0.001) , (0.001)  , (0.001)  , (0.900) 
30, SIS  , 0.000    , 0.000    ,0,0, 0.000    ,0, 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    ,0, 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    ,0, 0.000    ,0,0,0, 0.000    , 0.000    , 0.000    , 0.000   , 0.000   , 0.000   , 0.000   , 0.000    , 0.000    , 0.000   
31,      , (0.001)  , (0.001)  ,0,0, (0.001)  ,0, (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  ,0, (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  ,0, (0.001)  ,0,0,0, (0.001)  , (0.001)  , (0.001)  , (0.001) , (0.001) , (0.001) , (0.001) , (0.001)  , (0.001)  , (0.001) 
