,AUSTRIA,BELGIUM,BULGARIA,CROATIA,CYPRUS,CZECHIA,DENMARK,ESTONIA,FINLAND,FRANCE,GERMANY,GREECE,HUNGARY,IRELAND,ITALY,LATVIA,LITHUANIA,LUXEMBOURG,MALTA,NETHERLANDS,POLAND,PORTUGAL,ROMANIA,SLOVAKIA,SLOVENIA,SPAIN,SWEDEN,UK,CHINA,EASOC,INDIA,LATAM,RUSSIA,USMCA,LROW
Forestry, 0.000025    , 0.000025    ,0,0, 0.000025    ,0, 0.000025    , -0.000023   , 0.000025    , 0.000025    , 0.000025    , 0.000025    ,0, 0.000025    , 0.000025    , -0.000023   , -0.000023   , 0.000025    , 0.000025    , 0.000025    ,0, 0.000025    ,0,0,0, 0.000025    , 0.000025    ,0,0,0,0,0,0,0,0
Water,  -0.000270   ,  -0.000270   ,0,0,  -0.000270   ,0,  -0.000270   ,  -0.027540   ,  -0.000270   ,  -0.000270   ,  -0.000270   ,  -0.000270   ,0,  -0.000270   ,  -0.000270   ,  -0.027540   ,  -0.027540   ,  -0.000270   ,  -0.000270   ,  -0.000270   ,0,  -0.000270   ,0,0,0,  -0.000270   ,  -0.000270   ,0,0,0,0,0,0,0,0
Heating, 0.00241 , 0.00241 ,0,0, 0.00241 ,0, 0.00241 , 0.01663 , 0.00241 , 0.00241 , 0.00241 , 0.00241 ,0, 0.00241 , 0.00241 , 0.01663 , 0.01663 , 0.00241 , 0.00241 , 0.00241 ,0, 0.00241 ,0,0,0, 0.00241 , 0.00241 ,0,0,0,0,0,0,0,0
Cooling, -0.00372 , -0.00372 ,0,0, -0.00372 ,0, -0.00372 , -0.00674 , -0.00372 , -0.00372 , -0.00372 , -0.00372 ,0, -0.00372 , -0.00372 , -0.00674 , -0.00674 , -0.00372 , -0.00372 , -0.00372 ,0, -0.00372 ,0,0,0, -0.00372 , -0.00372 ,0,0,0,0,0,0,0,0
