 Parameter                                                , Distribution   , -                       , -                      , -          
 Dryland value                                            , Trunc. normal  , Î¼ = 4.0                 , Ïƒ = 2.0                , U = 0.0    
 Adaptation time                                          , Exponential    ,                         , Ïƒ = 0.1                ,            
 Wetland value                                            , Trunc. normal  , Î¼ = 5.0                 , Ïƒ = 2.5                , U = 0.0    
 Adaptation time                                          , Exponential    ,                         , Ïƒ = 0.1                ,            
 Dryland loss                                             , Trunc. normal  , Î¼ = Table SLR           , Ïƒ = Table SLR          , U = 0.0    
 Protection cost                                          , Trunc. normal  , Î¼ = Table SLR           , Ïƒ = Table SLR          , U = 0.0    
 Dryland value                                            , Trunc. normal  , Î¼ = Table SLR           , Ïƒ = Table SLR          , U = 0.0    
 Wetland value                                            , Trunc. normal  , Î¼ = Table SLR           , Ïƒ = Table SLR          , U = 0.0    
 Immigration                                              , Trunc. normal  , Î¼ = Table I             , Ïƒ = Table I            , U = 0.0    
 Immigration cost                                         , Trunc. normal  , Î¼ = 0.4                 , Ïƒ = 0.2                , U = 0.0    
 Adaptation time                                          , Trunc. normal  , Î¼ = 3.0                 , Ïƒ = 1.0                , U = 0.0    
 Emigration cost                                          , Trunc. normal  , Î¼ = 3.0                 , Ïƒ = 1.5                , U = 0.0    
